# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
24,1504,1.043473,4.562252,9.441902
25,1558,1.257917,5.172822,10.402547
25,1509,1.067324,4.288765,9.662356
25,1493,1.019959,4.358169,9.774771
25,1493,1.087984,4.183068,9.583591
25,1493,1.071735,3.996280,9.310489
25,1489,0.921026,3.927825,8.139844
24,1472,0.961955,3.908637,8.635475
25,1586,1.060559,4.068087,9.888118
25,1497,0.973435,3.780404,8.926515
25,1496,1.047286,4.130676,9.553910
25,1496,1.171541,4.383878,9.628464
25,1496,1.122291,4.722166,9.509398
25,1491,1.096424,4.597815,9.294973
24,1472,1.020869,4.043926,9.649597
25,1579,1.032174,4.062045,10.744922
25,1479,1.066185,4.045839,9.762267
25,1465,1.099930,3.847570,10.372121
25,1465,1.322627,4.139858,9.777691
25,1457,1.002991,4.506687,9.432732
24,1446,0.952495,3.983818,10.381733
25,1552,1.069564,4.639882,11.794523
25,1484,1.190494,4.513986,10.262573
25,1465,1.248297,4.489207,10.337518
25,1465,1.118404,4.511721,10.846184
25,1465,1.131904,4.170189,10.090315
25,1454,1.017914,4.109016,9.167708
24,1436,1.085068,3.891746,10.064222
25,1592,1.132974,4.605957,11.175987
25,1520,1.479359,4.038560,10.442858
25,1507,1.253319,4.197430,10.728145
25,1507,1.183361,4.771164,10.780707
25,1507,1.367647,4.343501,10.313314
25,1502,1.210772,4.460117,9.628375
24,1480,1.091800,3.720601,10.120612
24,1480,1.096835,4.212807,10.461838
25,1576,1.113419,4.139856,11.184352
25,1485,1.154877,3.978841,10.594293
25,1470,1.469502,4.252662,10.617329
25,1470,1.157715,4.492347,10.762664
25,1464,1.097548,4.528692,10.776229
24,1443,0.913170,4.113489,10.447706
25,1571,1.150458,4.429205,12.241482
25,1507,1.325120,4.370468,11.388177
25,1482,1.303101,4.605098,11.278564
25,1482,1.291104,4.301309,11.408111
25,1482,1.205835,4.632414,11.226574
25,1477,1.030999,4.568527,10.335963
26,1493,1.353511,4.412570,11.981733
26,1521,1.191788,4.446032,11.719928
26,1492,1.293613,4.377947,11.994082
26,1492,1.353668,5.050346,11.937482
26,1492,1.388027,4.542849,11.617016
26,1485,1.329573,4.825242,10.922861
25,1460,1.310910,4.282743,11.055726
26,1494,1.219789,4.273317,11.811302
26,1514,1.191492,4.206743,11.561550
26,1491,1.115910,4.380947,11.810577
26,1491,1.301381,4.876754,11.653479
26,1491,1.331758,4.501857,10.975665
26,1488,1.276651,4.861026,10.103120
25,1460,1.204132,4.499272,10.396317
26,1532,1.212225,4.846740,11.299568
26,1510,1.363019,4.663950,10.397189
26,1495,1.342562,4.417272,10.373559
26,1495,1.160150,4.017213,9.753397
26,1495,1.124132,4.374240,9.501609
26,1490,0.936103,4.054082,8.673257
27,1655,1.126289,4.251564,11.053002
27,1557,1.232925,3.996242,10.565126
27,1553,1.177329,4.338710,10.125906
27,1553,1.338840,4.014992,9.516064
