# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
39,2441,0.966768,2.654808,7.033396
38,2440,0.950055,2.974748,6.969189
38,2433,0.915117,2.755880,6.476199
37,2421,0.859398,2.662709,6.872522
38,2521,0.966402,2.629727,7.388516
37,2455,0.863808,2.595994,7.171243
37,2455,1.004967,2.873866,7.531914
37,2455,1.006847,2.873908,7.045896
37,2450,0.995974,2.882127,6.501920
36,2438,0.883971,2.760322,7.161587
37,2518,0.918810,2.888251,7.334772
37,2471,0.929435,2.800421,7.076767
36,2432,1.076905,3.224616,7.976186
38,2481,1.107234,3.174888,7.801880
38,2473,1.053295,3.631287,7.445741
37,2463,0.984722,3.158720,7.825362
38,2569,1.078081,3.423732,8.758691
38,2529,1.102930,3.343319,8.361239
40,2529,1.210133,3.701826,8.467713
40,2529,1.264502,3.795925,8.987038
39,2523,1.351020,3.772244,8.826812
38,2507,1.086038,3.668599,9.261636
40,2616,1.230105,3.900184,10.279579
40,2554,1.220774,3.722786,10.577452
39,2549,1.284356,3.928236,10.415980
39,2549,1.371319,3.789681,9.535121
39,2549,1.407200,4.150747,9.688342
39,2541,1.326295,4.067165,8.987201
38,2522,1.169186,3.584101,9.291319
39,2626,1.182115,3.906150,10.237876
39,2557,1.221742,4.063037,10.387884
39,2557,1.336291,3.962388,9.601136
40,2557,1.324615,3.874968,9.046193
40,2547,1.301748,3.609895,8.620147
40,2547,1.256720,3.291466,8.770422
41,2616,1.317766,3.737664,9.173195
41,2552,1.403482,3.129509,8.801305
41,2552,1.285267,3.411471,8.803214
41,2552,1.261452,3.317462,9.095012
41,2547,1.149535,3.127753,8.240441
41,2547,1.191440,3.143514,8.706803
41,2547,1.228796,2.967526,8.615356
41,2547,1.406666,3.011623,8.041106
41,2654,1.204570,3.137267,9.219696
41,2569,1.185875,2.855429,8.848532
41,2569,1.269738,3.221133,9.614631
41,2569,1.244525,2.976122,9.206006
40,2564,1.139344,2.854948,8.522473
40,2564,1.191381,2.825522,9.096517
40,2564,1.197029,2.721042,8.679564
39,2554,1.196456,2.684865,8.865377
39,2554,1.203688,2.511224,8.567236
39,2554,1.188573,2.488810,8.270606
41,2745,1.176527,2.736493,10.608973
41,2641,1.191545,2.622245,9.536451
40,2640,1.265086,2.881022,10.222452
40,2640,1.193920,2.843466,10.158737
40,2636,1.063457,2.963616,8.992671
38,2606,1.035940,2.660821,9.554945
39,2618,1.119727,2.339557,8.811072
39,2618,1.079519,2.395846,8.563049
39,2618,1.121316,2.504651,8.842096
39,2618,1.096698,2.312248,8.445912
40,2798,1.135105,2.621294,10.304367
40,2693,0.997490,2.466906,9.814558
40,2693,1.170139,2.651619,10.184055
39,2684,1.178866,2.753670,9.922794
40,2685,1.088439,2.586558,9.270696
42,2689,1.024986,2.455258,9.364626
40,2685,1.025166,2.289530,9.337170
39,2676,1.237153,2.606629,8.936407
40,2685,0.940485,2.258460,9.114092
40,2685,0.952452,2.536702,8.831254
41,2831,1.052686,2.688590,11.048608
41,2737,0.967521,2.686331,9.498791
41,2737,1.185544,2.768468,9.896564
43,2741,1.132465,2.764817,9.346249
43,2733,1.044494,2.691790,8.278234
43,2733,1.020103,2.532343,8.746026
42,2902,1.047518,2.941681,9.914899
41,2815,1.237937,2.686617,8.818937
42,2815,1.148327,2.797152,8.727087
34,2756,0.938231,2.777382,8.874564
33,2759,0.858061,2.520526,7.624008
32,2747,0.939049,2.473169,8.012789
33,2985,0.831739,3.073269,10.448473
32,2854,0.830800,3.067837,9.056222
31,2818,0.833937,2.853411,9.041332
30,2818,0.817496,2.603951,8.624778
28,2803,0.771285,2.980323,8.388702
30,2802,0.853077,2.795359,7.211432
35,2898,0.966711,2.382111,7.696323
35,3061,0.883526,2.752315,8.763990
34,2931,0.809325,2.394582,7.981502
30,2897,0.882074,2.398503,7.939552
30,2897,0.862140,2.198477,7.358820
30,2897,1.041387,2.092923,7.017563
30,2890,0.796778,1.799226,6.085979
31,2893,0.855280,1.743996,6.621547
35,3032,0.969045,2.389066,7.652670
38,2949,1.360179,2.128719,7.443831
38,2949,1.017160,1.885448,7.200294
37,2949,0.965117,1.927366,6.482868
45,2965,0.880835,1.707768,5.411577
47,2965,0.916681,1.736047,6.562802
48,2965,0.975543,1.729463,5.898348
45,2965,1.004502,1.686273,6.009922
47,2965,0.940916,1.653753,5.815654
48,2965,1.036885,1.779382,5.984076
49,2997,0.891727,1.697073,7.123115
49,2932,1.290570,1.830194,6.653710
49,2932,1.012041,1.812541,6.924851
49,2932,1.010144,1.924437,6.546563
49,2930,1.008480,1.783853,5.942026
49,2930,1.006941,1.946323,6.884712
49,2930,1.225340,2.159700,6.727980
49,2930,1.095018,1.732059,6.163391
50,3093,1.021017,2.208967,7.647339
50,3003,0.904916,2.128909,7.288656
50,3003,1.102625,2.480918,7.663623
50,3003,1.113771,2.444083,7.621944
49,2995,1.047974,2.513977,6.767131
49,2995,1.038575,2.535053,7.900089
49,2995,1.074743,2.469988,7.417445
49,2995,1.152213,2.515614,7.654733
48,2995,1.170001,2.487565,7.112099
49,2995,1.141956,2.497825,6.961317
49,2995,1.157212,2.432158,7.259427
50,3149,1.250007,2.752329,8.992713
47,3074,1.058980,2.677288,8.004053
47,3052,1.219230,2.777408,8.531880
50,3058,1.238676,2.748248,8.340290
51,3058,1.208469,2.686451,7.947891
47,3046,1.111588,2.596382,7.010387
50,3052,1.155277,2.552081,7.638102
47,3201,1.190737,2.840621,8.917537
51,3102,1.212266,2.558695,7.600306
47,3082,1.192776,3.033658,8.202350
51,3102,1.274017,2.887246,7.690466
48,3096,1.236091,2.775558,7.886757
48,3089,1.195053,2.952282,7.327891
46,3067,1.073029,2.805994,7.491926
47,3203,1.223137,3.328245,9.005467
48,3098,1.259305,2.883413,8.296600
48,3096,1.349887,3.117622,8.759603
48,3096,1.321305,3.289685,8.847878
49,3107,1.396109,3.293293,8.706690
49,3104,1.268604,3.415087,7.895717
49,3104,1.348677,3.209090,8.105168
50,3234,1.344944,3.650429,9.586080
50,3156,1.335095,3.219816,8.466763
50,3147,1.354889,3.335015,8.993193
50,3147,1.469198,3.514954,9.187831
49,3145,1.406229,3.517241,9.018332
48,3142,1.394433,3.519263,8.705144
50,3142,1.355610,3.429908,8.091556
48,3127,1.329508,3.503218,8.180812
48,3114,1.301231,3.308305,7.945207
48,3114,1.383296,3.494262,7.812323
49,3161,1.335578,3.508265,8.888336
49,3105,1.443820,3.483419,8.919503
49,3098,1.495917,4.088266,9.257681
49,3102,1.630478,3.865501,9.718904
48,3090,1.569227,3.919521,9.100841
49,3098,1.464194,4.455302,9.147071
51,3121,1.388150,4.068293,9.878303
55,3195,1.574137,4.151543,10.567700
52,3179,1.604445,4.124783,10.021397
53,3160,1.657374,4.126600,10.143575
54,3160,1.762960,4.571459,11.078757
52,3159,1.687730,4.386551,10.724164
55,3160,1.697589,4.550323,10.502040
55,3157,1.599430,4.344269,9.775181
55,3157,1.611327,4.143193,9.785314
52,3217,1.544740,4.040215,10.246310
55,3207,1.619031,3.996116,9.936708
56,3185,1.522764,4.025693,9.894527
52,3170,1.715284,4.238085,10.131851
52,3170,1.610101,4.118333,9.708590
54,3185,1.594467,3.999508,9.513410
53,3175,1.558588,3.968376,8.798714
53,3178,1.536831,3.744824,8.826066
53,3178,1.500004,3.560040,8.895469
54,3179,1.551100,3.421490,10.191781
55,3180,1.546415,3.517800,9.970069
56,3194,1.546723,3.500008,9.981839
54,3166,1.536627,3.593410,9.752966
56,3181,1.716824,3.888562,10.560081
57,3181,1.721030,3.985654,10.229361
55,3181,1.615128,3.818875,10.000888
55,3179,1.578650,3.762337,9.990054
54,3178,1.602020,3.440840,10.333822
56,3179,1.607649,3.404891,9.312790
53,3161,1.507922,3.749147,10.150414
54,3171,1.641555,3.177227,9.699361
52,3270,1.584177,3.566755,11.320078
52,3186,1.475580,3.240601,10.462794
53,3193,1.564968,3.528544,10.570225
51,3154,1.597277,3.542875,11.029784
53,3193,1.578399,3.350148,10.947787
51,3154,1.557757,3.398534,10.899813
51,3149,1.478207,4.630296,9.682220
51,3149,1.500142,3.202257,10.176888
51,3149,1.489679,3.496904,9.195408
51,3149,1.524601,2.814404,9.447148
52,3356,1.534051,3.512404,12.665536
52,3232,1.497582,3.299526,11.289410
52,3208,1.455315,3.127285,10.580354
51,3180,1.589820,3.344918,11.252273
52,3208,1.550988,3.192691,10.433257
54,3249,1.535314,3.203968,10.336770
54,3245,1.624211,3.470127,9.713081
51,3194,1.416891,3.189414,10.354009
51,3191,1.447627,2.846613,9.701897
51,3194,1.424070,2.808082,9.573847
52,3374,1.422009,3.362062,12.028718
52,3243,1.452612,2.917448,10.198048
52,3221,1.407376,3.063841,10.595060
52,3221,1.567485,3.304904,10.546910
52,3221,1.460666,3.128333,10.503152
52,3221,1.478785,3.163442,10.079054
52,3219,1.357235,3.115265,9.249972
52,3219,1.343391,2.984143,10.384462
52,3219,1.308411,2.857750,9.265085
54,3279,1.353111,2.835609,9.202753
53,3368,1.326733,3.104504,10.736183
57,3313,1.372273,2.782694,9.522457
56,3295,1.366605,2.999528,9.241241
57,3297,1.417286,2.910378,9.585072
56,3295,1.409270,2.948686,9.496784
59,3297,1.470133,2.931792,9.208077
58,3294,1.319017,2.958674,8.278877
58,3294,1.308388,2.768670,8.930206
44,3157,1.123339,2.548588,7.924678
44,3174,1.102425,2.519329,7.712610
45,3357,1.103159,2.995070,10.100158
42,3248,0.993385,2.567726,8.505816
43,3245,1.185100,2.723813,8.700155
43,3243,1.173148,2.633498,8.629842
48,3353,1.265644,2.570773,7.657169
48,3353,1.184445,2.409330,7.607114
46,3327,1.140367,2.381444,6.892710
46,3315,1.147294,2.106589,7.096182
47,3422,1.142830,2.474152,7.813479
43,3276,1.062732,2.029437,6.440058
44,3279,1.112927,2.136437,7.076103
41,3244,1.046673,2.047987,6.753022
44,3279,1.109566,2.012778,6.934403
46,3311,1.129330,2.015774,6.366073
41,3229,1.003681,2.016519,5.588218
45,3283,1.080272,1.859264,6.193982
49,3391,1.079362,2.337477,7.405709
61,3316,1.198963,1.887651,6.418375
58,3315,1.254809,2.036266,6.555198
59,3316,1.236155,1.971774,6.610258
57,3314,1.243498,2.006446,6.354926
60,3312,1.292637,2.006778,6.630654
56,3309,1.149936,1.960694,6.703096
62,3437,1.267816,2.058003,7.243527
62,3341,1.288624,1.975835,6.249304
62,3341,1.281002,2.237652,6.752845
63,3341,1.286522,2.252278,6.788560
64,3341,1.356071,2.217442,6.846512
63,3336,1.232233,2.394062,5.973478
63,3336,1.278711,2.411240,6.981198
64,3476,1.233482,2.792965,7.791007
62,3340,1.342576,2.533228,7.248770
60,3318,1.345701,2.875790,7.792819
60,3318,1.396054,3.156807,8.240643
61,3322,1.492850,3.248505,7.902746
62,3334,1.526421,3.255085,7.610093
63,3334,1.461059,3.332511,8.820545
65,3335,1.609069,3.130937,8.151134
65,3335,1.601913,3.172880,8.552237
65,3335,1.691954,3.135164,8.863267
66,3405,1.679080,3.693543,10.009140
66,3344,1.653650,3.360057,9.586050
63,3315,1.574994,3.400678,9.128567
66,3316,1.800985,3.733342,10.017703
66,3316,1.839715,3.641329,10.137391
66,3316,1.796539,3.658349,10.277173
66,3313,2.297897,3.821739,9.534384
64,3313,1.671973,3.593391,9.730888
59,3268,1.656646,3.293966,9.296536
58,3257,1.682676,3.192495,8.947187
58,3257,1.546342,3.013397,8.735952
59,3408,1.584235,3.677272,10.640616
59,3307,1.509642,3.088297,9.147625
59,3291,1.400744,3.134808,8.895254
56,3215,1.646936,3.357008,9.070448
60,3288,1.712474,3.359260,8.607335
60,3288,1.665154,3.129164,8.645581
60,3283,1.638045,3.048215,7.206324
60,3283,1.360223,2.908095,7.906398
60,3283,1.421928,2.668421,7.720004
61,3437,1.542818,3.000455,9.178417
61,3306,1.481096,2.644348,8.341759
61,3293,1.416020,2.704023,7.624432
61,3293,1.455792,2.801264,7.670368
57,3220,1.386967,2.758564,7.404041
57,3220,1.317226,2.742874,7.834065
57,3216,1.228392,3.251573,6.182646
57,3216,1.295351,2.737532,8.184851
56,3328,1.439557,2.971165,8.489678
60,3332,1.373775,2.823266,7.999203
60,3328,1.541816,2.889451,7.980760
60,3327,1.530315,3.099817,8.316914
58,3273,1.484557,3.124536,8.421249
60,3327,1.574477,3.182554,8.183914
60,3325,1.628366,3.499554,7.688014
56,3231,1.442375,3.297822,8.528788
57,3327,1.501579,3.382175,9.775192
58,3269,1.561487,3.407625,9.387721
60,3324,1.588354,3.550955,9.147774
60,3319,1.878207,4.001768,9.090623
61,3344,1.858433,3.927692,9.359679
60,3319,1.780791,4.004221,9.364668
62,3358,1.684967,4.244863,8.664349
62,3356,1.685494,3.985557,9.353813
62,3356,2.002646,4.234734,8.799208
64,3357,2.234312,4.326576,9.189649
61,3357,1.683180,4.374890,9.219282
63,3364,1.616970,4.403121,9.078850
62,3355,1.777451,4.755977,9.862114
62,3355,1.903024,4.494343,9.467847
65,3381,1.819592,4.485220,9.394403
65,3378,1.828255,4.937651,8.828287
67,3383,1.632519,4.395602,10.147967
70,3384,1.964965,4.174876,9.025500
71,3353,2.061282,4.061986,9.915102
71,3330,1.918973,4.034564,10.250873
71,3306,2.374050,3.968410,10.037973
67,3303,2.070197,4.398918,10.622123
71,3306,2.018525,4.165471,10.439472
71,3306,2.077591,4.136403,10.327324
68,3302,1.915477,3.996423,9.941230
71,3303,1.812465,4.117144,11.009608
70,3293,1.987282,3.748832,9.791808
70,3293,1.924763,3.686664,10.143862
70,3293,1.993983,3.715569,9.889776
67,3328,2.023371,3.839792,10.561631
71,3359,1.915243,4.052691,11.064526
66,3319,1.960114,3.783446,10.795416
64,3313,1.892910,3.848554,10.791016
66,3319,2.016321,4.136542,11.346831
66,3319,2.028842,4.061846,10.990752
65,3309,1.983407,4.093810,11.003105
65,3308,1.894880,4.102618,10.276221
65,3308,1.768449,4.135106,10.570451
65,3308,2.045361,3.731499,9.753027
64,3301,1.810924,3.612482,9.439195
65,3432,1.819981,3.710520,10.965010
62,3358,1.910584,3.664835,10.040146
61,3319,1.670437,3.759766,9.700841
62,3337,1.809852,3.753924,9.972677
61,3319,1.841628,3.603610,9.699943
59,3303,1.806482,3.569418,9.711699
62,3331,1.827248,4.013190,9.123711
59,3297,1.625985,3.552767,9.660447
61,3320,1.654566,3.386056,9.558698
59,3305,1.719235,3.448020,9.564265
62,3471,1.698960,3.801637,11.421529
61,3364,1.701937,3.491441,10.591713
62,3341,1.731795,3.419328,10.335819
61,3330,1.874519,3.960279,10.936977
63,3310,1.904528,4.129443,11.047689
60,3283,1.891461,3.390564,10.950184
60,3279,1.799007,3.461930,10.298153
60,3279,1.712962,3.422720,10.989569
61,3292,1.861547,3.221854,10.473012
63,3316,1.821201,3.089274,9.887210
64,3517,1.835024,3.409967,11.644594
63,3402,1.871393,3.115272,10.335487
63,3381,1.967674,3.740177,9.990056
63,3381,1.763010,3.351508,10.722682
65,3426,1.809999,3.319853,10.191686
66,3430,1.825022,3.522898,10.145104
67,3450,1.814123,3.475905,10.280041
66,3430,1.718879,3.394797,9.197050
67,3450,1.640321,3.321821,10.522154
70,3469,1.685079,3.067167,9.329535
71,3501,1.710010,3.238333,9.560965
72,3418,1.686673,3.028169,9.074828
72,3404,1.635913,3.091748,9.236989
71,3402,1.771883,3.261742,9.722617
71,3402,1.741357,3.290758,9.813713
72,3404,1.778996,3.350313,9.740571
72,3400,1.812914,3.255529,8.813417
72,3400,1.565716,3.188256,10.048381
71,3400,1.677309,2.977592,9.388231
71,3400,1.692449,2.970404,9.209712
68,3381,1.589449,2.902331,9.279231
70,3569,1.690768,3.288461,11.165385
69,3446,1.715830,2.985622,10.497116
69,3434,1.781258,3.027354,9.672341
69,3434,1.753127,3.203562,10.324089
69,3434,1.749762,3.128459,9.975010
68,3427,1.813453,3.303205,9.557927
67,3424,1.679493,3.157945,9.407226
67,3421,1.559532,3.378393,8.333549
68,3425,1.494366,3.049879,8.784877
66,3412,1.385216,3.116813,8.402925
67,3412,1.495021,2.794905,7.208343
65,3452,1.411776,2.827537,8.479584
57,3378,1.296206,2.758337,7.789915
56,3378,1.407613,2.887095,8.281954
57,3408,1.468118,2.816429,8.360018
55,3402,1.438214,2.739765,7.806331
55,3424,1.409449,2.720675,7.744941
60,3448,1.380471,2.521334,6.643221
58,3435,1.327442,2.427571,7.712032
63,3462,1.423311,2.140157,6.874086
62,3461,1.463456,2.028555,7.023439
64,3727,1.498404,2.702910,8.992580
72,3583,1.455297,2.045085,7.417850
70,3575,1.466661,2.288808,7.630098
74,3577,1.575212,2.581594,7.601586
75,3577,1.540240,2.625138,7.666875
75,3577,1.620208,3.191883,7.980995
75,3577,1.685746,3.517366,7.979028
74,3577,1.625708,3.517948,8.984909
75,3577,1.811629,3.357236,8.288785
75,3577,1.839740,3.144129,8.309022
76,3604,1.800011,3.687540,9.570694
76,3560,2.047221,3.529978,9.259765
76,3526,1.807181,3.505234,9.302004
76,3526,2.033864,3.872133,9.843927
76,3526,2.099227,3.925670,9.702507
76,3526,2.028132,4.098067,10.410527
76,3526,2.166602,3.910864,9.271632
75,3525,2.031891,3.938482,9.382468
76,3525,1.894172,3.919991,9.706282
75,3515,2.070741,3.576278,9.134261
76,3453,2.043440,3.690832,9.222555
76,3517,1.999080,4.246952,9.601345
76,3475,2.078494,3.744743,9.197585
76,3475,1.975244,3.908585,9.553840
76,3475,2.125741,4.272110,10.623032
76,3475,2.177602,3.940884,10.013780
76,3475,2.314354,4.305743,10.005077
76,3470,2.103724,4.130997,9.643843
76,3470,1.953505,4.171756,10.128480
76,3470,2.082262,3.833088,9.133004
77,3491,2.150829,3.921369,10.228901
77,3539,2.262631,4.454760,10.613878
77,3507,2.231205,4.069315,10.193894
77,3507,2.189392,4.299126,10.241572
77,3507,2.316805,4.739479,11.079556
77,3507,2.216862,4.499228,10.773273
77,3507,2.224893,4.611734,11.067587
77,3503,2.288094,4.715740,10.613445
77,3503,2.087526,4.618815,11.263441
77,3503,2.192624,4.264895,11.075264
78,3531,2.177900,4.422543,11.135117
78,3551,2.258861,4.322381,10.820861
78,3509,2.097889,4.149924,9.781594
78,3508,2.094606,4.504800,10.801411
78,3508,2.420730,4.516972,11.149367
78,3508,2.315443,4.528082,11.106248
78,3508,2.229975,4.314338,10.359156
78,3507,2.282537,4.499645,10.579081
78,3507,2.102702,4.569774,11.038043
76,3488,2.124783,4.430982,10.480685
77,3501,2.141622,4.390807,10.676118
77,3517,2.240666,4.499062,10.341347
77,3479,1.998174,4.897631,10.754682
77,3479,2.253515,4.539414,10.274702
77,3479,2.287687,4.898141,11.022129
77,3479,2.275807,4.906035,10.973460
77,3479,2.301236,4.971931,11.617053
77,3478,2.401787,5.327629,10.826975
77,3478,2.134012,4.968317,11.006210
76,3464,2.158163,4.646823,10.494599
76,3409,3.075119,4.700297,10.223105
77,3498,2.096861,4.883214,10.841997
76,3461,2.144394,4.654582,10.556093
76,3461,2.131880,4.627814,11.009441
77,3461,2.388063,4.916780,10.937008
77,3461,2.314843,5.015502,10.890783
77,3461,2.304052,4.747450,10.795150
77,3458,2.471385,4.864025,10.307100
77,3458,2.201922,5.000936,10.777186
76,3450,2.176557,4.738679,10.607726
76,3450,2.312267,4.566730,10.038024
77,3442,2.618746,4.822010,10.287155
77,3489,2.278270,5.046818,10.860340
77,3448,2.361469,5.102463,10.833904
77,3448,2.463396,5.207114,10.874498
77,3448,2.585930,5.334518,11.540963
77,3448,2.288840,5.480128,10.640825
77,3448,2.231861,5.499190,11.449375
77,3445,2.134732,5.264872,10.567246
76,3445,2.106778,5.357580,11.785018
75,3419,2.206370,4.968004,11.455518
76,3358,2.081788,5.071118,10.590369
76,3482,2.236344,4.899234,11.525198
73,3447,2.237258,4.528763,11.287110
76,3448,2.288596,5.142171,11.454942
73,3447,2.351027,5.039913,11.744624
72,3440,2.257250,5.014154,11.244155
73,3447,2.227741,5.347591,11.643701
74,3445,2.159123,5.841994,10.785787
73,3445,2.019949,5.096277,11.437509
74,3432,2.151655,4.739617,10.054316
73,3432,2.129032,4.594074,11.152390
74,3370,2.103358,4.339884,10.502261
74,3489,2.256012,4.705530,10.406419
74,3451,2.101167,4.371825,10.391993
74,3451,2.178765,4.349787,10.445251
76,3451,2.487169,4.716591,10.791505
76,3451,2.351300,4.670589,10.709328
76,3451,2.233424,4.493736,10.625665
76,3448,2.402288,4.485548,9.777306
76,3448,2.013107,4.378124,10.583239
75,3424,2.221372,4.230191,10.422634
76,3383,2.085285,3.972860,10.064431
76,3514,2.235758,4.392531,10.885920
74,3465,2.349935,4.106188,10.203660
72,3457,2.341898,4.095068,10.691393
72,3462,2.312870,4.139757,10.769898
75,3466,2.344076,3.903246,10.520609
75,3466,2.040445,4.186888,10.482346
75,3463,2.066559,3.698634,10.068885
75,3463,1.923695,3.782977,10.356739
74,3452,1.894207,3.487776,9.170354
75,3544,1.845144,3.940247,10.422512
75,3489,1.876099,3.492935,9.786134
75,3473,2.651070,3.648473,10.093239
75,3473,1.901389,3.789435,10.456294
75,3473,1.985846,3.778899,10.298577
75,3473,2.067181,3.884625,10.832186
75,3473,2.037575,3.764148,10.282986
75,3471,1.922124,3.843066,10.379262
74,3471,1.843062,3.999593,11.156248
75,3471,2.168286,3.489500,10.226391
75,3528,1.981649,3.699689,10.817395
73,3496,1.997869,3.698877,10.563612
72,3469,1.919798,3.632143,10.827729
72,3469,2.068323,3.689750,11.043689
70,3449,2.149708,3.880873,11.353683
69,3437,2.135637,3.788961,10.607078
70,3449,2.040197,3.986921,10.714984
68,3425,2.667918,3.974065,10.201487
68,3425,1.838622,3.863154,10.495787
65,3373,1.778146,3.476884,10.087305
65,3373,1.894773,3.363211,9.688842
66,3511,1.887654,4.129211,11.626497
66,3421,1.926269,3.495377,10.147932
66,3400,1.815694,3.426521,10.741197
66,3400,1.888301,3.473129,10.234101
66,3400,1.968162,3.651227,10.461658
67,3414,1.941345,3.564205,9.919821
68,3437,1.941721,3.657055,9.769679
69,3444,1.802606,3.698272,9.518540
73,3484,1.778191,3.977222,10.160359
71,3459,1.837664,3.476394,9.766198
74,3595,1.889697,3.998321,11.172757
74,3540,1.992583,3.824598,10.666229
74,3524,1.739834,3.647113,10.555169
77,3528,1.972285,4.411992,11.346631
76,3528,2.068599,4.289041,10.765090
76,3528,1.952452,3.653839,10.911620
76,3528,1.945528,3.504806,10.703438
77,3525,1.926177,3.698947,9.766860
76,3525,1.831463,3.430377,10.597119
74,3501,2.236432,3.271894,9.511106
67,3491,1.717530,3.425751,9.195199
68,3603,2.096556,3.471317,10.181411
70,3505,1.708402,3.388384,8.824087
77,3493,1.905678,3.054129,8.025293
77,3493,1.804929,3.017931,7.630248
77,3493,1.666966,2.894028,7.709616
77,3493,1.681327,2.665896,7.798358
77,3493,1.668904,2.693171,7.274842
75,3492,1.504731,3.074066,6.416212
75,3492,1.522973,2.644323,7.725156
73,3470,1.512016,2.517854,7.467074
74,3584,1.606838,3.386022,8.655991
74,3475,1.667279,3.152306,7.907299
74,3472,1.573288,3.088045,8.017104
74,3472,1.750905,3.114894,8.282655
74,3472,1.750334,3.046026,8.477414
76,3472,1.866023,2.855003,7.931275
76,3469,1.634091,2.538964,6.286460
76,3469,1.549717,2.392089,7.243347
76,3469,1.608750,2.184587,6.794390
77,3630,1.594513,2.539851,8.257914
77,3507,1.527041,2.194052,7.237704
77,3498,1.560146,2.332324,6.598028
77,3498,1.584500,2.188175,7.046014
77,3498,1.721814,2.265411,6.987727
77,3498,1.660736,2.219913,6.401256
77,3493,1.545061,2.172347,6.015268
77,3493,1.451544,2.124370,6.460741
75,3493,1.419112,2.220559,6.374075
76,3622,1.507287,2.370915,7.922812
75,3499,1.637527,2.138709,7.046895
75,3499,1.534006,2.402217,6.907370
73,3473,1.644364,2.761190,7.186188
73,3473,1.559682,2.969411,7.213005
74,3492,1.632132,2.975786,7.799149
74,3485,1.609304,3.591010,7.028336
70,3454,1.655523,3.198094,8.143859
69,3432,1.633897,3.127418,7.789409
73,3468,1.639452,3.670014,7.648158
74,3387,2.349555,3.115850,7.859411
74,3489,1.659315,3.407847,8.175198
73,3458,1.752421,3.340890,8.051062
75,3459,1.919812,3.680076,9.456307
75,3459,2.059192,3.639948,9.552869
76,3459,2.031475,3.781634,9.431936
74,3459,2.062544,3.788793,9.409360
76,3459,2.183962,3.762406,9.730001
76,3456,2.043447,4.192030,9.619173
71,3451,1.923431,3.906236,10.084053
76,3447,1.997309,3.588712,9.401047
76,3467,2.239364,3.829271,9.913304
71,3504,2.046076,3.719651,10.046962
73,3447,2.104929,3.633145,9.520105
73,3446,2.067897,3.833394,9.761187
72,3448,2.238906,3.938812,10.347651
74,3448,2.094222,3.706168,9.564719
73,3447,2.017073,3.938912,10.067572
74,3447,2.048158,3.917553,9.497447
71,3446,1.857664,3.936909,9.687588
68,3422,1.789880,3.353061,8.884338
69,3536,1.777972,3.484011,9.578715
70,3494,1.819588,3.216866,9.060520
67,3431,1.684755,2.720971,8.462906
65,3414,1.653283,2.725693,7.595644
62,3397,1.528440,2.605206,7.497645
64,3411,1.542222,2.474827,7.001643
64,3411,1.457032,2.338397,6.503662
64,3411,1.442365,2.378871,5.309982
62,3397,1.272230,2.482866,6.586194
64,3411,1.345605,2.333583,6.381766
63,3574,1.600261,3.032550,8.558765
67,3517,1.567901,2.896005,7.507765
67,3507,1.655603,3.039317,7.731618
65,3463,1.710259,3.540842,8.293165
67,3487,1.738739,3.671017,8.298059
66,3478,1.836352,3.799722,8.708512
66,3476,1.769624,3.784014,7.999077
63,3396,1.654047,3.938449,9.065045
63,3396,1.905353,3.903366,8.878431
65,3380,2.034664,3.894688,9.437282
65,3442,1.811744,4.423464,9.702056
65,3407,1.897599,4.215943,10.724901
70,3439,2.125931,4.222039,10.197339
73,3491,2.285297,4.458590,10.795583
73,3491,2.207209,4.228699,10.505396
73,3491,2.277492,4.410916,11.178927
73,3513,2.172347,4.399252,10.330225
76,3523,2.076627,4.428768,11.107127
77,3523,2.272426,4.371999,10.655968
78,3402,2.740700,4.444338,10.855061
78,3522,2.329820,4.890097,12.439797
79,3486,2.570465,5.069515,11.486084
79,3486,2.904672,4.874959,11.333526
79,3486,2.489662,4.770563,11.923453
79,3486,2.543800,4.736875,11.131567
79,3486,2.388684,5.064162,11.822546
79,3484,2.332746,4.519300,10.899898
79,3484,2.197425,4.474230,11.652456
74,3465,2.212010,4.073631,10.572988
74,3465,2.150480,3.865026,10.085426
74,3483,2.157467,3.994180,11.359253
74,3528,2.177234,4.343059,10.926492
75,3467,2.076838,3.825150,10.474937
71,3448,2.145632,4.109888,10.516281
72,3452,2.278018,4.189971,10.863513
70,3442,2.134205,4.643198,10.763704
70,3442,2.178921,4.172061,10.727706
70,3442,2.352899,4.493125,10.876236
71,3449,2.141336,4.396685,10.688699
71,3450,2.010647,4.275254,11.456700
73,3457,2.264883,4.108245,10.790593
78,3456,2.377274,4.032708,11.220323
78,3501,2.201567,4.610222,11.937097
77,3442,2.203833,4.643758,11.545124
77,3434,2.538929,4.149713,11.138460
75,3431,2.514257,4.722434,12.122270
72,3416,2.401564,4.871347,11.759265
75,3431,2.425126,4.308369,11.498024
76,3432,2.360543,4.488177,11.702141
76,3430,2.237052,4.479445,10.419336
71,3428,2.046838,4.536305,11.592772
74,3422,2.207641,4.059487,11.048874
69,3376,2.277706,3.861223,10.654549
67,3450,2.044429,3.851451,11.714364
67,3402,2.036472,4.259815,10.450215
66,3383,2.089805,4.008940,10.541327
67,3392,2.507156,4.358700,11.720874
70,3411,2.384842,4.263720,11.305960
69,3411,2.306800,4.096990,10.408186
66,3390,2.193035,4.078342,10.674523
64,3360,1.939164,3.967841,9.894017
