#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
284.723649,25,68,2534,28476
284.846431,25,67,2565,27958
290.667692,25,68,2599,28396
309.310000,25,68,2719,31158
321.689458,25,68,2861,32413
325.964077,25,69,2922,33086
333.928722,25,70,3072,33975
343.448754,25,71,3183,35985
352.805453,25,71,3164,36573
367.120568,25,72,3283,37588
357.640858,25,73,3314,37895
361.119135,25,74,3393,38310
363.330906,25,74,3453,38391
357.104545,25,75,3410,38295
362.439893,25,75,3410,38561
359.400792,25,74,3347,38054
366.922175,25,75,3389,38566
378.920547,25,75,3465,38683
379.593750,25,75,3410,38645
372.017354,25,76,3318,38846
382.649185,25,77,3321,39119
368.530917,25,75,3310,38582
364.315146,25,75,3235,38304
378.189245,25,76,3206,38491
371.010537,25,77,3207,38540
361.443312,25,75,3191,37705
378.851258,25,75,3184,37784
375.150566,25,75,3182,37895
368.442883,25,76,3226,38542
370.832654,25,75,3179,37854
369.622173,25,76,3152,37913
350.482933,25,75,3015,36698
347.451190,25,75,3012,36341
350.168439,25,73,2951,35656
390.905444,25,74,2927,35871
356.910464,25,75,2937,36221
361.999684,25,76,2955,36567
356.264947,25,75,2846,35328
351.267499,25,74,2855,34853
348.299126,25,74,2772,34138
349.740017,25,74,2778,34252
351.857619,25,74,2827,34293
348.491200,25,74,2827,33855
347.170638,25,74,2745,33615
349.198432,25,75,2676,33855
352.057069,25,76,2569,33454
324.820579,25,76,2333,30529
458.720031,25,74,2637,33789
350.305550,25,74,2604,33551
387.489991,25,74,2701,34044
340.651670,25,75,2506,32176
412.956305,25,73,2788,34308
352.884967,25,74,2811,33791
409.206608,25,74,2962,35977
381.463235,25,75,2903,36613
392.837985,25,76,2921,36938
375.303399,25,76,3017,37133
386.861469,25,75,3152,38437
382.889003,25,75,3102,38490
472.284879,25,74,3157,38129
383.185339,25,74,3141,38110
372.101824,25,72,3146,37271
373.633393,25,72,3206,37645
372.870915,25,72,3198,37949
378.678111,25,73,3165,38265
378.244069,25,74,3178,38411
376.834811,25,73,3202,38149
394.620484,25,72,3144,37933
389.139085,25,72,3169,38116
379.506552,25,73,3146,38308
374.234518,25,72,3181,37840
378.485997,25,73,3244,38398
375.984994,25,72,3200,37868
369.731004,25,72,3209,37977
373.926966,25,73,3226,38368
372.534487,25,74,3230,38640
369.373493,25,74,3148,37994
373.637757,25,75,3116,38380
373.893852,25,75,3137,38384
371.479296,25,76,3060,38141
369.595476,25,74,3071,37218
361.737241,25,75,3109,37585
370.623338,25,76,3011,37572
382.495232,25,76,3035,37774
366.037313,25,76,2967,36950
362.132612,25,75,2910,36393
357.051797,25,75,2907,36323
366.718347,25,75,2960,36210
