#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
29.803838,0.093402,131.693182,301.895709,35.156483,498.643667
27.529429,0.129961,123.492524,296.413405,45.068337,492.635654
25.121071,0.134473,119.519951,300.243997,34.350197,479.370811
25.744105,0.137651,124.695226,315.139720,34.499376,500.217488
23.044761,0.206583,110.822978,309.118392,39.537309,482.731656
22.440782,0.190383,110.120411,334.734924,45.881024,587.217497
20.934324,0.155215,104.226168,319.881467,34.674961,479.873552
16.516604,0.204054,99.946228,312.802522,32.240473,461.711096
24.299290,0.216028,133.476763,313.621820,48.040431,519.656390
30.026894,0.180203,139.827069,312.605680,43.562167,526.722502
31.297528,0.147765,143.900252,318.772488,44.328395,538.448380
34.909575,0.125572,146.576686,323.817455,56.804722,562.235765
33.285815,0.172990,141.651398,321.592657,52.685407,549.389946
36.697779,0.119413,143.047658,319.241086,58.455679,557.562893
33.654504,0.122616,137.423299,320.142957,61.876643,553.221732
35.735062,0.124686,137.132543,324.066188,50.075449,547.135734
36.685098,0.117655,139.663060,326.208519,55.703536,558.380247
34.522035,0.175313,137.735185,324.695611,51.538828,548.668581
26.141589,0.150379,124.964800,324.714853,45.478017,521.456213
29.482559,0.140131,134.983810,327.773007,51.556059,543.937004
28.720957,0.134428,128.591592,328.299435,44.259253,530.007300
26.204550,0.138264,121.277350,335.129518,56.544036,539.295130
24.153143,0.191037,109.806299,335.194947,62.391034,531.737799
19.803517,0.150555,105.269234,319.780205,44.624619,489.629541
18.084672,0.145590,105.046186,315.584548,44.015284,482.877875
17.308847,0.141768,92.279304,321.522924,57.741836,565.841137
23.729438,0.202250,113.191376,377.439038,27.603868,542.166977
31.058893,0.129357,142.825762,317.003478,57.935433,548.954514
25.495770,0.165567,131.416770,317.794047,42.454605,517.328525
18.004339,0.170554,103.603752,318.173304,40.107682,480.060981
27.578996,0.196639,131.205436,328.054204,41.259841,528.296775
35.333981,0.183410,131.299399,325.563198,56.406972,548.788898
33.819034,0.179668,150.330532,341.175480,33.818867,559.324661
34.691751,0.128341,150.364990,344.391520,65.223046,594.801208
35.559458,0.269003,146.348436,343.252445,29.594591,555.025198
30.452690,0.134139,137.004122,356.895468,32.919269,557.406928
23.522546,0.142366,125.438577,339.803174,53.472781,542.380709
22.063512,0.139717,121.406225,336.233470,61.740924,541.585468
25.156121,0.149150,117.926695,338.300033,49.661175,531.195097
24.050416,0.120543,123.528118,337.258822,74.321367,559.281099
24.912986,0.090693,113.790037,334.141328,63.167819,536.104790
21.314214,0.082119,100.968794,322.235350,46.733589,491.335388
19.086421,0.092468,95.828546,331.813114,50.109114,496.931447
17.111864,0.109465,113.489633,327.756326,49.814017,508.283078
14.023984,0.113371,91.453534,323.560248,62.440255,572.188548
15.163951,0.135674,90.445215,316.349383,46.367815,468.463471
20.683065,0.128614,116.431044,330.426814,46.303968,513.975160
15.673311,0.107273,95.256174,314.012686,44.336196,469.387004
14.506777,0.097952,90.990794,313.081525,43.556120,462.235027
20.616584,0.093329,114.678048,318.090713,60.072006,513.552636
22.226728,0.103148,109.127339,319.539815,63.001440,514.000405
31.861012,0.077151,146.693120,317.453613,48.608140,544.694683
28.446088,0.078659,139.456342,320.338144,50.669269,538.990577
25.163278,0.116505,119.765531,333.646595,58.437379,537.130890
19.231555,0.118930,107.470302,315.376073,41.809544,484.007686
15.492763,0.136124,103.349499,311.218848,53.383778,483.582348
17.550983,0.152763,106.621361,309.430364,41.495495,475.252076
19.014104,0.147550,110.763091,297.067245,52.432170,479.425410
25.662389,0.179047,135.315397,303.677884,43.827071,508.663363
29.046091,0.169423,131.379244,307.528951,56.472437,524.597827
31.726551,0.127260,148.642786,301.174943,49.798446,531.471787
33.522526,0.181230,136.229986,306.240755,68.380011,544.556412
37.593307,0.892522,149.783972,305.439014,53.937946,547.648458
27.914629,0.777241,135.459412,306.753530,57.385165,528.291356
29.903370,0.114086,148.499246,308.477086,58.448799,545.443950
43.729292,0.124134,168.150953,313.627346,38.419998,564.053053
29.804710,0.126172,122.521645,315.281772,72.587311,540.322807
38.982975,0.100300,167.530299,307.977768,69.144571,583.737453
29.006259,0.136373,132.983319,302.736589,53.376739,518.241263
21.463259,0.117498,122.458984,291.086690,66.391832,501.519303
23.088099,0.141946,121.109545,284.723649,78.000541,507.065466
27.522927,0.177596,141.478674,284.846431,51.064982,505.092522
32.096479,0.192310,154.899838,290.667692,75.170910,553.028773
36.517989,0.184774,145.707226,309.310000,69.619319,561.341136
20.894759,0.159435,106.029336,321.689458,52.353188,501.127707
18.582490,0.134024,109.545533,325.964077,46.493949,500.721399
20.869252,0.138926,114.721401,333.928722,52.491359,522.151475
28.997146,0.171182,139.188463,343.448754,66.634221,578.441289
36.118884,0.161286,139.550695,352.805453,59.314725,587.952767
26.829160,0.112011,130.289704,367.120568,55.233947,579.587124
13.540161,0.818174,74.872709,357.640858,44.811095,491.684183
12.563423,0.103284,89.800954,361.119135,45.432836,509.021009
13.130326,0.125045,105.014016,363.330906,34.032508,515.634311
9.949040,0.150555,84.369422,357.104545,58.158300,509.733170
25.727356,0.144718,115.213221,362.439893,69.631794,573.158835
40.946504,0.140438,152.680085,359.400792,23.995199,577.163955
30.330024,0.109345,148.273502,366.922175,61.904163,607.540555
27.585100,0.150770,135.221873,378.920547,27.765174,569.644797
38.322772,0.198513,176.436005,379.593750,24.538799,619.091027
34.048517,0.195804,130.133412,372.017354,25.210101,561.606221
29.075121,0.114666,128.970964,382.649185,82.756245,623.567323
36.136639,0.147054,141.394147,368.530917,74.979091,621.189811
42.253232,0.126627,150.962057,364.315146,25.005800,582.663888
29.215394,0.123916,134.129300,378.189245,18.951376,560.610478
31.436255,0.095001,143.886399,371.010537,81.428108,627.856918
40.113620,0.157700,152.692662,361.443312,39.479028,593.887210
40.004160,0.130527,170.431361,378.851258,39.131615,628.549751
38.582584,0.154249,179.670953,375.150566,19.919636,613.478858
34.910025,0.138410,161.558671,368.442883,74.303134,639.353977
28.515827,0.150749,134.915342,370.832654,26.186246,560.601670
28.823817,0.124589,143.418124,369.622173,82.250890,624.240429
41.082651,0.124214,163.958386,350.482933,39.526693,595.175441
39.957229,0.113007,161.308255,347.451190,102.694114,651.524456
42.092742,0.119091,168.299384,350.168439,64.853716,625.534137
42.053366,0.118424,167.733278,390.905444,22.746266,623.557655
42.071409,0.149499,144.778753,356.910464,32.495522,576.406130
41.562329,0.117678,154.590647,361.999684,82.293669,640.564586
37.075139,0.143197,153.221212,356.264947,85.408560,632.114030
35.989973,0.162809,144.851412,351.267499,42.971986,575.244432
37.773913,0.132559,159.599598,348.299126,73.341074,619.147415
36.958168,0.129500,154.610445,349.740017,68.397740,609.836493
31.960205,0.129228,141.254263,351.857619,33.361710,558.563786
28.802256,0.150915,144.951589,348.491200,76.063025,598.459626
38.509543,0.180663,162.940335,347.170638,24.436134,573.241295
37.906630,0.180023,150.843220,349.198432,33.976144,572.107928
46.115319,0.122799,182.119985,352.057069,42.302572,622.718403
42.259841,0.118687,168.029238,324.820579,95.641381,630.870554
49.202033,0.142889,185.710792,458.720031,47.023343,740.800106
46.186449,0.141669,158.486437,350.305550,48.742757,603.863707
38.879336,0.155363,155.781818,387.489991,24.934520,607.242041
42.749782,0.193232,164.404346,340.651670,91.373836,639.373403
29.802007,0.133269,131.727349,412.956305,28.321381,602.940935
14.149231,0.164668,107.198700,352.884967,51.039970,525.438226
23.695046,0.171959,124.767531,409.206608,34.638420,592.480232
43.692285,0.181247,159.964987,381.463235,25.784435,611.087004
39.229043,0.834634,151.551722,392.837985,33.852321,618.306390
23.604936,0.146003,134.390630,375.303399,79.069247,612.514721
30.180040,0.183080,150.318194,386.861469,29.880099,597.423479
36.425036,0.160033,145.451901,382.889003,76.293373,641.220141
31.250225,0.142356,147.193387,472.284879,33.849142,684.725492
31.241502,0.191882,132.423889,383.185339,73.758322,620.801634
19.522040,0.138408,109.857392,372.101824,62.869860,564.490508
21.789126,0.131788,117.288596,373.633393,54.526002,567.369502
35.712761,0.163863,137.311537,372.870915,30.554439,576.614526
41.220632,0.866970,164.575325,378.678111,25.004313,610.346038
25.032182,0.149951,134.457411,378.244069,42.073186,579.957397
32.662193,0.160980,143.072572,376.834811,85.034571,637.766039
41.333082,0.160047,157.381283,394.620484,43.879201,637.374676
42.303586,0.139101,154.189159,389.139085,25.890610,611.662128
32.093728,0.160861,147.993547,379.506552,49.309696,609.064925
29.476265,0.221483,136.003334,374.234518,55.647726,595.583856
29.525151,0.170216,140.226726,378.485997,74.273283,622.682026
26.958279,0.187253,130.585760,375.984994,63.668299,597.385295
23.997190,0.192294,126.723363,369.731004,52.479628,573.124353
24.107956,0.152035,119.405262,373.926966,60.477800,578.070832
24.090134,0.164622,118.337551,372.534487,73.046826,588.174236
22.646671,0.161766,108.113188,369.373493,50.842543,551.138321
32.934441,0.145618,139.374777,373.637757,30.054751,576.147968
32.008244,0.132703,138.048706,373.893852,20.181192,564.265539
18.859771,0.167548,100.850727,371.479296,61.735245,553.093112
14.905602,0.129017,98.712649,369.595476,51.943451,535.286744
21.737350,0.116552,124.024032,361.737241,55.008560,562.624571
34.225789,0.194766,134.016685,370.623338,32.185654,571.246775
41.167933,0.187067,164.781399,382.495232,42.184062,630.816970
39.026846,0.175445,147.298667,366.037313,82.301544,634.840485
29.176436,0.138758,138.737931,362.132612,77.227447,607.413658
26.476815,0.159566,125.955833,357.051797,71.400371,581.045273
28.529868,0.133377,135.286516,366.718347,73.925354,604.594187
